channel,max_val,min_val,mean_val,std_dev,active_interval_mean,active_interval_max,active_interval_min,active_interval_std
01,3512.8077140930545,145.36349966284558,413.82267297355327,309.41493333331874,,,,
02,144.46651515151515,0.36084848484848486,24.10409853309841,36.30750246904016,102.24281187642069,156.8572328086164,0.8927174813587406,15.817935766328374
03,34.02503607503607,0.2558297258297258,2.0335575120003058,4.446281058364078,32.948572002454746,55.16763313609468,0.5179289940828402,6.166460750861615
04,1032.9597313797315,0.08876678876678877,5.5087959698174105,64.52009318592977,1356.4648268936694,1434.8760577740015,0.6648258283772304,117.01311423885222
05,611.2094434882387,1.350619621342513,18.901846062500706,60.32056380656854,138.27941216352104,847.6121371610847,1.7320494417862837,189.1458284987768
06,705.5256620336503,0.4356108266276518,10.66700220450782,57.911115901868875,211.81299606283352,1244.581230569948,1.148782383419689,314.9291203705522
07,1100.9795072788354,0.02578947368421053,3.3236191882958726,50.180622896382786,1040.0380684513257,1390.2667619728377,1.2095639742673339,263.36913067438195
08,986.7755555555555,0.2372579001019368,3.50702425280834,34.839895638817794,758.9533179684997,1609.4997123519458,1.3158714043993232,83.5551294914508
09,932.5290561797752,0.4307134831460674,4.071839766619941,49.931833682998786,880.2213169393665,1197.890435413643,1.5367198838896952,333.1197267852243
10,805.1374071526823,0.028878954607977993,6.836332471011478,61.383684764126244,860.1534281446553,1712.9382991202344,0.44670087976539585,595.1472383535348
11,709.2043455945252,0.6048930710008554,25.405980788273105,87.71527056962354,595.4121123096274,1431.344117647059,1.9177508650519033,289.52758784351073
12,738.7406729264476,0.4710954616588419,18.442048047751122,104.21040316137349,761.9620075934463,1432.0747112462006,1.7100303951367781,621.5180059602556
13,410.80542168674697,1.371367824238129,4.150414039687756,8.756548496361027,78.46090863400244,1064.7379668049794,2.5452489626556014,71.64874339264931
14,98.68898139946856,0.16612931798051372,10.615643500046179,18.60900924797459,65.89626050961579,131.82490453460622,0.5194749403341289,14.97035587513812
15,228.9762851782364,0.6390994371482176,19.167671019244388,48.04152514032009,131.21547041149935,285.3914051522248,1.4576112412177986,66.95664430463205
16,1588.880540037244,1.2038919925512104,27.95328446744594,153.52106276412354,1386.176789808394,2067.2002305825245,5.924186893203883,335.8972750449878
17,156.06068745570516,0.9205457122608081,15.460148201372352,22.181108577850022,104.86057802885772,205.81308056872038,2.4611279620853077,18.79395348195481
18,661.0055210489993,0.0873015873015873,1.9992068973057016,31.093450973669317,1207.15659705261,1347.1188294797687,0.7201156069364163,237.02827118634082
19,22.290713276836158,1.3130014124293785,3.9166475925247077,2.7425105636811704,8.894057461011153,26.325239361702128,1.8744148936170215,2.5698261981480672
20,531.2082205882353,1.9868088235294117,17.3418032603237,21.907859343412593,156.42631828505506,1249.4565845070422,5.610017605633803,48.87029266545883
21,623.4638360091743,1.3595699541284405,58.77445839473971,41.75110337134031,80.97397087261886,623.6748709122203,2.5484796328169823,30.496204618327507
22,619.1123792486584,0.9374150268336314,28.668486956507504,37.74600627534433,73.33858432936367,618.4949239033124,1.5945389435989257,37.03763817392279
23,8.1474456879526,4.073726135615536,4.868972149679026,0.2606268172225098,5.684443764004151,7.918351648351648,4.567708006279435,0.2770563839459827
